date,luminosity,lunar_illumination,lunar_elevation,overlaps_swath
2023-01-18,2342.10009765625,20.58556827865667,1.345853249730756,False
2023-01-19,2621.300048828125,12.061531792194009,-12.180472544386726,False
2023-01-20,2768.60009765625,5.441229198679487,-26.056112829607976,False
2023-01-21,1743.5,1.3484272010801601,-40.16438858361143,False
2023-01-22,2540.900146484375,0.2156239347111344,-54.33463770299886,False
2023-01-23,3431.2001953125,2.1696595971905763,-68.32077246453115,False
2023-01-24,2075.2001953125,6.9950133518759285,-81.38009386097082,False
2023-01-25,1939.5,14.195114174738155,-81.95537616458338,False
2023-01-26,2412.7001953125,23.11822436223811,-69.7545186245525,False
2023-02-16,2717.5,25.174600104117005,2.7870119545781584,False
2023-02-17,3072.2998046875,15.73978892850027,-10.40869035383888,False
2023-02-18,2685.89990234375,8.051885425402011,-23.762413218031803,False
2023-02-19,4499.7998046875,2.7534737297562453,-37.06251518962025,False
2023-02-20,2710.0,0.30427762821103044,-49.94799155093367,False
2023-02-21,2726.30029296875,0.8763580557568706,-61.689337159150085,False
2023-02-22,2895.60009765625,4.320123313440238,-70.364742998686,False
2023-02-23,2745.19970703125,10.217966895606063,-71.76463262591761,False
2023-02-24,3589.900146484375,17.996243162865223,-65.31382920762042,False
2023-02-25,3891.0,27.04372799147362,-55.642859436162894,False
2023-03-17,5250.7998046875,28.935413715858672,4.103623870186771,False
2023-03-20,3547.900146484375,4.3646540967189456,-31.136670189360256,False
2023-03-21,2540.60009765625,0.843675206831418,-41.7764230102701,False
2023-03-22,6300.10009765625,0.15608816823747262,-50.85590630993583,False
2023-03-23,5739.2998046875,2.215915384704953,-57.21671759162329,False
2023-03-24,4369.60009765625,6.709104577551045,-59.48288993785689,False
2023-04-16,5573.80029296875,21.58866639585576,-2.307025621211962,False
2023-04-17,5347.60009765625,12.827346368778109,-12.421023272769839,False
2023-04-18,9457.7001953125,6.104298593888663,-22.128771699812503,False
2023-04-25,4423.1005859375,23.704799858269034,-44.46308868461212,False
2023-05-16,3952.900146484375,15.123148799406655,-2.8374928534913053,False
2023-05-19,6398.69970703125,0.5083590759186685,-28.31233094709748,False
2023-05-21,3789.7001953125,2.0144622640319465,-41.09933010780726,False
2023-05-22,4764.400390625,5.808369362574001,-45.23906079722491,False
2023-05-23,3198.0,11.280266060609618,-47.408315788613386,False
2023-05-24,4855.400390625,18.130666811992008,-47.43320669127601,False
2023-06-19,2953.7998046875,0.8047587298140257,-37.01113253468363,False
2023-06-20,3972.60009765625,3.3430443871175166,-43.95102325726311,False
2023-06-21,3204.0,7.599179103614517,-49.562139388166536,False
2023-06-22,5615.7998046875,13.365320519698825,-53.29974556936469,False
2023-06-23,3180.5,20.41708398201902,-54.61152626306819,False
2023-06-24,3607.0,28.523651762906404,-53.23791884368705,False
2023-07-14,5009.60009765625,13.327737853232236,4.312857109199331,False
2023-07-15,2839.400146484375,7.3339069173543825,-5.895860001136776,False
2023-07-16,4326.2998046875,3.1104482047787485,-15.964802219909279,False
2023-07-17,2916.800048828125,0.7388615076200256,-25.835744334308835,False
2023-07-18,7334.2998046875,0.23868141430958834,-35.43100155582223,False
2023-07-19,4678.0,1.5727671638473495,-44.619203888682655,False
2023-08-11,4076.400146484375,25.019886856710528,19.913305325324508,False
2023-08-12,3032.2001953125,17.035890275596095,8.880687010326234,False
2023-08-13,5556.599609375,10.42686353931121,-2.0216514440282967,False
2023-08-14,3200.300048828125,5.360050779369452,-12.812638440682575,False
2023-08-18,3864.699951171875,2.3911642994300433,-55.10945223856209,False
2023-08-19,5407.60009765625,6.059875755421801,-65.30257603667083,False
2023-08-20,3328.2001953125,11.372560571817585,-74.6950209958194,False
2023-08-22,4755.900390625,26.356331126026326,-75.71362256723987,False
2023-09-12,3298.300048828125,8.474852227282764,-9.100785220645518,False
2023-09-13,4240.60009765625,3.9890372676503913,-20.006192663153573,False
2023-09-16,4813.10009765625,0.8305328153493552,-52.85882247740427,False
2023-09-18,3443.60009765625,7.9212765845855575,-75.1090772787101,False
2023-09-19,4991.89990234375,14.12731445922017,-85.98566120501586,False
2023-09-20,6119.2001953125,21.919744581395662,-81.43613905107621,False
2023-10-09,4201.2001953125,27.67509931955662,18.17543130186711,False
2023-10-10,5081.10009765625,19.654078888925987,7.3700552145068405,False
2023-10-11,6011.7998046875,12.706876009246686,-3.4101013887535716,False
2023-10-12,6197.400390625,7.062493886786631,-14.21415521480256,False
2023-10-13,4673.5,2.9433427827293244,-25.075695624163192,False
2023-10-14,3838.800048828125,0.5540182863935483,-36.00762657658394,False
2023-10-15,5141.400390625,0.06370404055589529,-46.99122511174478,False
2023-10-16,4749.2001953125,1.585577915957992,-57.94144159983824,False
2023-10-17,5248.900390625,5.157360434798564,-68.5605925735109,False
2023-10-18,4649.5,10.72665191757366,-77.47017388761935,False
2023-10-19,4223.0,18.142869514614667,-78.49589973052977,False
2023-11-08,3964.7001953125,26.14910033101564,14.883164994339728,False
2023-11-09,4857.1005859375,18.23306701989721,4.162176509205348,False
2023-11-10,5190.0,11.384068186288744,-6.696875006578906,False
2023-11-11,5398.900390625,5.898930472770947,-17.721768748109543,False
2023-11-13,7097.599609375,0.19704320613591064,-40.25070455868997,False
2023-11-14,5209.900390625,0.4771386597604288,-51.62246253501641,False
2023-11-16,4806.30029296875,7.8832975355616846,-72.69768586719597,False
2023-11-18,6422.599609375,23.655035179906527,-71.81907942079809,False
2023-12-08,3720.10009765625,24.968761235716837,12.17461047749741,False
2023-12-09,4496.599609375,16.942181462675983,0.8829911688223315,False
