date,luminosity,lunar_illumination,lunar_elevation,overlaps_swath
2023-01-18,14012.900390625,20.58556827865667,3.516866744797158,False
2023-01-19,15865.80078125,12.061531792194009,-10.023248205647352,False
2023-01-20,14409.2998046875,5.441229198679487,-23.9209489658197,False
2023-01-21,12898.9990234375,1.3484272010801601,-38.0639254295859,False
2023-01-23,16627.900390625,2.1696595971905763,-66.41807759135048,False
2023-01-24,13196.19921875,6.9950133518759285,-80.09689056279075,False
2023-01-25,9117.7998046875,14.195114174738155,-84.72572163513483,False
2023-01-26,12170.2998046875,23.11822436223811,-72.27181229038956,False
2023-02-16,13834.099609375,25.174600104117005,5.110548620573201,False
2023-02-17,15284.5,15.73978892850027,-8.192304549703918,False
2023-02-18,18291.400390625,8.051885425402011,-21.678501565571604,False
2023-02-19,20253.0,2.7534737297562453,-35.1605588153191,False
2023-02-20,18207.099609375,0.30427762821103044,-48.333114881575774,False
2023-02-21,15382.5,0.8763580557568706,-60.6168158641287,False
2023-02-22,13763.0,4.320123313440238,-70.48817398200663,False
2023-02-23,15387.5,10.217966895606063,-73.73131926738944,False
2023-02-24,12619.2001953125,17.996243162865223,-68.03711172515864,False
2023-02-25,14730.9990234375,27.04372799147362,-58.407257937318754,False
2023-03-20,10853.7998046875,4.3646540967189456,-29.591692601080723,False
2023-03-21,11057.5,0.843675206831418,-40.68228336072164,False
2023-03-24,15001.1005859375,6.709104577551045,-61.0808364644758,False
2023-03-26,17777.69921875,21.112834459124713,-54.37897233174157,False
2023-04-16,18821.400390625,21.58866639585576,-0.4311727100390675,False
2023-04-17,21299.400390625,12.827346368778109,-10.891406134986006,False
2023-04-18,26307.203125,6.104298593888663,-21.00735538010485,False
2023-04-20,21659.0,0.041444020057396225,-38.85146841997181,False
2023-05-24,12457.2998046875,18.130666811992008,-50.15415279535042,False
2023-06-14,10947.400390625,17.7301418564585,7.565433033286617,False
2023-06-20,12422.2001953125,3.3430443871175166,-45.6669464094417,False
2023-06-21,12046.400390625,7.599179103614517,-51.75390002839058,False
2023-06-22,14157.3994140625,13.365320519698825,-55.89257832027731,False
2023-06-23,13110.7001953125,20.41708398201902,-57.39117176421968,False
2023-07-15,10801.2998046875,7.3339069173543825,-6.082422074585871,False
2023-07-16,11105.599609375,3.1104482047787485,-16.400248439029355,False
2023-07-22,11017.7001953125,15.530661608451451,-68.17860558548195,False
2023-08-13,12960.2998046875,10.42686353931121,-2.1821466508088667,False
2023-08-17,10416.19921875,0.45925857199983766,-45.30534780113659,False
2023-08-21,10371.19921875,18.195931680792228,-82.99260540603697,False
2023-08-22,10473.19921875,26.356331126026326,-77.23185577030209,False
2023-09-10,14132.0,21.752209965380835,12.936834092520305,False
2023-09-11,11717.2001953125,14.454375659712332,1.9105971721805313,False
2023-09-15,14618.30078125,0.06911482186057749,-41.650852218616,False
2023-09-17,8887.2998046875,3.458230709539528,-63.52878574498113,False
2023-09-19,11517.2001953125,14.12731445922017,-83.93366764492734,False
2023-10-09,10323.8994140625,27.67509931955662,18.519736873809958,False
2023-10-10,12142.400390625,19.654078888925987,7.827425082451333,False
2023-10-12,15518.5,7.062493886786631,-13.529424108218839,False
2023-10-14,11377.599609375,0.5540182863935483,-35.04156022115975,False
2023-10-15,11879.900390625,0.06370404055589529,-45.82905358980621,False
2023-10-16,14754.80078125,1.585577915957992,-56.49906419932621,False
2023-10-17,14385.0,5.157360434798564,-66.66274289177021,False
2023-10-18,14094.5,10.72665191757366,-74.8510827725464,False
2023-10-19,11754.099609375,18.142869514614667,-76.24162366242041,False
2023-10-20,12090.599609375,27.155171680099066,-69.07951000647519,False
2023-11-08,14692.1005859375,26.14910033101564,15.83960925624384,False
2023-11-09,13416.201171875,18.23306701989721,5.265556041411202,False
2023-11-10,12253.2998046875,11.384068186288744,-5.453442614526695,False
2023-11-13,15794.599609375,0.19704320613591064,-38.53316231618094,False
2023-11-14,13846.80078125,0.4771386597604288,-49.67764795821714,False
2023-11-15,11782.0,3.040972081954191,-60.49606236040897,False
2023-11-16,12300.2001953125,7.8832975355616846,-70.0224015276437,False
2023-12-08,12083.099609375,24.968761235716837,13.804811165136517,False
2023-12-09,18626.0,16.942181462675983,2.6161715881821914,False
2023-12-10,16497.900390625,10.053288572249786,-8.872574210555745,False
2023-12-11,14230.5,4.699624167759953,-20.669403999790518,False
2023-12-12,13586.3994140625,1.2797056496660075,-32.750171865988264,False
2023-12-13,15216.0,0.14111016415019328,-45.04221433799744,False
2023-12-14,14710.30078125,1.5162912147927365,-57.38178224012683,False
2023-12-15,17278.099609375,5.4638782374065995,-69.31948340781796,False
2023-12-16,15197.400390625,11.836165159031303,-78.70993003707555,False
2023-12-17,14079.7001953125,20.28565256344822,-76.93732125337887,False
2024-01-07,11506.900390625,23.3593435074643,8.916970669304574,False
2024-01-08,10904.599609375,15.137923404195192,-3.295373210733117,False
2024-01-09,14682.2998046875,8.254380419102574,-15.902778710098763,False
2024-01-10,17061.80078125,3.2263063238222314,-28.894992159608382,False
2024-01-11,14935.599609375,0.5380905164905303,-42.22333254040561,False
2024-01-12,11733.201171875,0.5484283288509084,-55.80276053385132,False
2024-01-13,11833.0,3.398766713346857,-69.52205582008892,False
2024-01-14,12697.201171875,8.960156231600358,-83.26033686686544,False
2024-01-16,14081.701171875,26.47574179942659,-69.62660744329624,False
2024-02-05,12691.30078125,29.921337625233956,12.690243343491307,False
2024-02-06,13822.201171875,20.561443913362424,0.24051568837262263,False
2024-02-07,13859.30078125,12.306841714172368,-12.596027195562481,False
