date,luminosity,lunar_illumination,lunar_elevation
2023-01-16,18998.80078125,40.671735363327535,13.385394977953219
2023-01-18,12907.599609375,20.58556827865667,-11.58172405623465
2023-01-26,30033.6015625,23.11822436223811,-52.65383488034775
2023-01-28,14167.0,43.494695673742086,-29.54019098028337
2023-01-29,19129.099609375,53.83374851551831,-18.197530691822763
2023-02-13,18787.3984375,57.22919456519395,23.57095963396123
2023-02-14,16265.7001953125,46.52856907101842,12.264003392596333
2023-02-15,18270.1015625,35.656606126018396,0.5959456061298204
2023-02-25,15446.599609375,27.04372799147362,-37.452348193669074
2023-02-26,25658.69921875,36.796864116411186,-27.617032736821464
2023-02-28,21270.099609375,56.60822132897594,-8.03169851192041
2023-03-15,24503.69921875,51.127296860460035,10.384936484767533
2023-03-16,17153.298828125,39.88935021241705,0.2201320260360295
2023-03-26,24577.69921875,21.112834459124713,-33.19587012561916
2023-03-27,16710.099609375,30.023925989559697,-25.887772062041414
2023-03-28,14822.7001953125,39.478903409981356,-18.26172128857288
2023-03-29,21144.19921875,49.11261166415103,-10.551719840476139
2023-04-13,14649.1005859375,54.50323759280459,10.698046316704273
2023-04-14,18628.80078125,43.05378347124513,2.7449641263468783
2023-04-15,22123.298828125,31.86820501995782,-5.22942069217599
2023-04-16,31374.8984375,21.58866639585576,-12.941777085794037
2023-04-25,17223.80078125,23.704799858269034,-25.9373396782338
2023-04-26,28742.599609375,32.45944710267787,-21.091549821040125
2023-04-28,25347.599609375,51.183103802665556,-10.374670810498582
2023-05-13,27761.099609375,45.56276959580398,9.86495058457027
2023-05-14,19399.0,34.353679833709485,3.831041361980661
2023-05-15,17692.201171875,24.030292284130027,-2.268646878617057
2023-05-25,17483.8984375,26.061710070719858,-27.09899680387844
2023-05-26,22688.3984375,34.789562642628304,-24.398817592578986
2023-05-30,20407.298828125,72.26542337300204,-7.507739296227978
2023-06-11,19044.599609375,48.01053949819188,20.95890590522989
2023-06-12,21282.1015625,36.93211212210393,15.706842808054306
2023-06-13,25973.69921875,26.68906590390835,9.861633799343975
2023-06-23,22708.400390625,20.41708398201902,-36.15183440004895
2023-06-24,30097.798828125,28.523651762906404,-35.744307460406894
2023-06-25,21842.90234375,37.44962206418264,-33.97940009382092
2023-06-26,21094.0,46.94828596358271,-30.91264324745658
2023-06-27,18875.0,56.74729878991679,-26.644907436320317
2023-06-28,21329.400390625,66.5292324683875,-21.298263367690684
2023-07-10,29610.701171875,50.95725476191911,33.73836198369399
2023-07-11,20118.80078125,40.09891052738979,27.822032909425758
2023-07-12,18493.5,29.966803752485273,20.906579909256035
2023-07-23,17237.30078125,22.988874031597,-48.74175597922203
2023-08-09,20324.19921875,44.20505638067495,37.86209706762979
2023-08-10,22736.19921875,34.16596375378045,29.158663103078425
2023-08-11,26090.6015625,25.019886856710528,19.977455310264894
2023-08-23,20900.0,35.63494071929573,-57.15497046931099
2023-08-24,17579.298828125,45.756300693108074,-49.8780353254017
2023-08-25,17117.400390625,56.37045676657586,-40.67914254171428
2023-08-26,17810.19921875,67.03296168513981,-30.18193448663626
2023-09-08,22892.400390625,39.48620151504595,34.59060967141727
2023-09-10,17353.6015625,21.752209965380835,13.713693995269162
2023-09-21,18583.5,31.07380136347698,-65.42296016315306
2023-09-22,23558.201171875,41.28924145748362,-55.366484639726615
2023-09-23,30894.599609375,52.179260846187745,-43.992416465549795
2023-09-24,20599.69921875,63.25923273866933,-31.81968466732131
2023-09-25,20205.6015625,73.94441354200035,-19.04308796351372
2023-10-08,29637.8984375,36.53720965898465,27.664797750533726
2023-10-20,39083.80078125,27.155171680099066,-68.8893984791853
2023-11-07,19680.400390625,34.85103232188032,20.706485571219172
2023-11-08,18895.0,26.14910033101564,9.686209862481581
2023-11-18,18004.0,23.655035179906527,-69.3282638943598
2023-12-07,26843.599609375,33.767482529144196,13.931926805285212
2023-12-17,25872.298828125,20.28565256344822,-67.9572166809493
2023-12-18,19533.69921875,30.307888978802804,-55.09865043410645
2024-01-04,17332.599609375,51.53681597140203,28.221085576120537
2024-01-05,14927.6005859375,41.94336967794495,17.096203917349303
2024-01-06,17992.1015625,32.43420904073384,5.736883725962489
2024-01-17,21711.30078125,37.1898623388224,-38.99525211243583
2024-01-19,23320.3984375,59.28453461683322,-14.234829493846624
2024-02-01,29066.0,68.77686962174272,38.91537811356534
2024-02-05,15855.0,29.921337625233956,-4.265064321818289
2024-02-06,17646.798828125,20.561443913362424,-15.816721470250586
2024-02-14,24103.69921875,22.345278943405667,-45.26352260040807
2024-02-15,20111.599609375,32.570519342680335,-34.36127719421995
2024-02-17,23061.5,54.11736088219591,-12.254284421333997
2024-03-03,18709.0,56.72510527886487,16.97619987317931
2024-03-04,17942.0,46.38142555622387,7.172894215981472
2024-03-05,22214.80078125,35.85031275361658,-2.935292299921477
2024-03-06,23320.599609375,25.620046827124543,-13.210016672958924
2024-03-15,15057.0,27.627294486757958,-29.6539508104761
2024-05-01,16467.80078125,55.46261769033951,13.155348204406629
2024-05-02,18710.69921875,44.222693132851596,7.1490303482336115
2024-05-03,18608.69921875,33.04286664940535,0.8172867422777496
2024-05-04,24184.099609375,22.56882301854695,-5.606861159612629
2024-05-13,18908.19921875,26.475071767528934,-25.24441324781323
2024-05-14,23246.298828125,35.77049039371914,-21.844249872570252
2024-06-11,27123.8984375,21.020819318824476,-33.21193175210243
2024-06-12,20169.8984375,29.513095787462145,-32.3991650056326
2024-06-13,19160.69921875,38.61931529398006,-30.40517610299914
2024-06-14,22565.701171875,48.03302238157118,-27.37183217808861
