date,luminosity,lunar_illumination,lunar_elevation,overlaps_swath
2020-01-21,29674.8671875,15.527012257062001,0.0,False
2020-01-22,27192.9375,8.654552877776128,0.0,False
2020-01-24,37563.41796875,0.8461908750572178,0.0,False
2020-01-25,41111.3359375,0.05312696842444953,0.0,False
2020-01-26,37629.03515625,1.2664768913619284,0.0,False
2020-01-29,36708.7265625,15.229788580652132,0.0,False
2020-02-19,48133.453125,19.748761395432467,0.0,False
2020-02-20,57236.1015625,12.343820498210578,0.0,False
2020-02-25,57619.953125,1.852324612566525,0.0,False
2020-02-26,30883.953125,5.159932535935252,0.0,False
2020-03-21,37092.94140625,10.27011542895866,0.0,False
2020-03-22,44799.73046875,5.264856946414209,0.0,False
2020-03-23,48472.02734375,1.9243783650998214,0.0,False
2020-03-25,24326.17578125,0.5168607905785216,0.0,False
2020-03-27,34873.5390625,6.156394703665324,0.0,False
2020-03-28,34448.26953125,11.458998684985689,0.0,False
2020-04-18,39458.296875,21.980793105205493,0.0,False
2020-04-19,37129.42578125,14.669891477782581,0.0,False
2020-04-22,46048.1875,1.280060247418402,0.0,False
2020-04-23,60141.265625,0.15230723983677974,0.0,False
2020-04-26,40327.0234375,7.784681324052367,0.0,False
2020-04-27,45411.7578125,13.901089340405958,0.0,False
2020-05-19,49927.61328125,12.741047247675914,0.0,False
2020-05-20,79763.96875,7.1013018545821485,0.0,False
2020-05-21,67750.125,2.9875783945519374,0.0,False
2020-05-25,51192.453125,5.161262721824144,0.0,False
2020-05-26,63194.9296875,10.70689014431161,0.0,False
2020-06-17,63176.5,17.414334897296772,0.0,False
2020-06-18,49230.80859375,10.691869325056302,0.0,False
2020-06-20,73104.4765625,1.7499936636830637,0.0,False
2020-06-21,73046.9375,0.08511388788443042,0.0,False
2020-06-22,67982.03125,0.5855417554603115,0.0,False
2020-06-23,58781.05078125,3.36383407243917,0.0,False
2020-06-24,61528.90234375,8.40851794517128,0.0,False
2020-06-25,70115.84375,15.566707217882803,0.0,False
2020-07-16,46073.71875,22.633673827336505,0.0,False
2020-07-17,60473.94921875,14.881615229432516,0.0,False
2020-07-18,55972.71875,8.382314022518061,0.0,False
2020-07-19,40480.12109375,3.5216159090631303,0.0,False
2020-07-20,42038.484375,0.6740467413800577,0.0,False
2020-07-21,43117.8125,0.15260089846953484,0.0,False
2020-07-22,56404.12890625,2.1499807076089725,0.0,False
2020-07-23,53679.71484375,6.687353021602583,0.0,False
2020-07-24,32994.859375,13.587902709300604,0.0,False
2020-08-15,40087.875,19.583176282072788,0.0,False
2020-08-16,42303.7421875,11.936402092076987,0.0,False
2020-08-17,39308.171875,5.833871336122187,0.0,False
2020-08-18,50965.7890625,1.7650925839021614,0.0,False
2020-08-19,63375.30859375,0.15761677985692835,0.0,False
2020-08-20,51040.1328125,1.2899950991606512,0.0,False
2020-08-21,42771.59375,5.215417969124853,0.0,False
2020-08-22,35578.4140625,11.727583722638924,0.0,False
2020-09-14,50881.203125,15.907365719020895,0.0,False
2020-09-15,37225.30078125,8.59193484886483,0.0,False
2020-09-16,45318.90234375,3.279185044219257,0.0,False
2020-09-17,50131.91015625,0.505479355734556,0.0,False
2020-09-18,50311.5625,0.633427310641721,0.0,False
2020-09-19,61101.1953125,3.751766091097841,0.0,False
2020-09-20,51866.9765625,9.6367822950174,0.0,False
2020-10-14,49446.2734375,11.686270986522763,0.0,False
2020-10-15,52890.9765625,5.1795200957821415,0.0,False
2020-10-16,66821.0703125,1.2032009866140003,0.0,False
2020-10-17,77556.15625,0.1867977477770011,0.0,False
2020-10-18,58386.0625,2.2593150426686748,0.0,False
2020-10-19,52779.6953125,7.210105294520764,0.0,False
2020-10-20,49721.3515625,14.545675529397888,0.0,False
2020-11-12,59098.0703125,14.998856079136424,0.0,False
2020-11-16,64320.75,0.9470019740085267,0.0,False
2020-11-17,66821.734375,4.6618670409667935,0.0,False
2020-11-18,61734.26953125,10.831505504691552,0.0,False
2020-12-17,31217.6171875,7.145129493280894,0.0,False
2020-12-18,36225.1640625,13.83811974584231,0.0,False
2021-01-09,40345.9375,21.906110578455017,0.0,False
2021-01-10,38371.8046875,13.098047991699357,0.0,False
2021-01-15,39748.2890625,4.0191030240592065,0.0,False
2021-02-10,50495.640625,3.8099737923257546,0.0,False
2021-02-11,53118.0078125,0.8561062085043536,0.0,False
2021-02-12,44280.42578125,0.2149550133234035,0.0,False
2021-02-13,42146.2578125,1.7796194530118326,0.0,False
2021-02-14,35953.0625,5.336810386163404,0.0,False
2021-03-09,54748.3359375,19.968838621851994,0.0,False
2021-03-10,49308.3359375,12.209985886655373,0.0,False
2021-03-12,27625.5546875,2.292052329098065,0.0,False
2021-03-13,42155.21484375,0.3799478223035224,0.0,False
2021-03-15,43190.03515625,2.549743000304361,0.0,False
2021-04-09,34044.3515625,9.214028486028896,0.0,False
2021-04-10,43966.5390625,4.343644780531958,0.0,False
2021-04-12,28602.515625,0.12990763529135974,0.0,False
2021-04-13,35283.8828125,0.8141147115991065,0.0,False
2021-04-14,26887.46875,3.283859441468173,0.0,False
2021-04-15,38114.23046875,7.425148964236438,0.0,False
2021-04-16,34616.9375,13.09003056315427,0.0,False
2021-05-07,66744.046875,19.923043227526527,0.0,False
2021-05-09,39246.45703125,7.0288834348511795,0.0,False
2021-05-10,48856.3515625,2.9541061230411003,0.0,False
2021-05-11,60585.69140625,0.6107468815480022,0.0,False
2021-05-12,74176.234375,0.057090536861820196,0.0,False
2021-05-13,58635.125,1.3056759307741472,0.0,False
2021-05-14,48943.78125,4.322921761525761,0.0,False
