date,luminosity,lunar_illumination,lunar_elevation
2023-02-15,225422.0,35.656606126018396,7.7805458199706194
2023-02-16,203776.59375,25.174600104117005,-3.342751016152756
2023-02-25,136621.1875,27.04372799147362,-39.72035275501338
2023-02-26,142776.3125,36.796864116411186,-31.559326923974307
2023-02-27,126401.796875,46.77980761918514,-22.999305779801457
2023-02-28,219426.8125,56.60822132897594,-14.341207281458946
2023-03-17,173633.3125,28.935413715858672,-2.0607337896723767
2023-03-28,158035.1875,39.478903409981356,-22.31095985013435
2023-03-29,140889.296875,49.11261166415103,-16.079475065634675
2023-04-14,130146.8984375,43.05378347124513,9.759114575523402
2023-04-15,123336.0,31.86820501995782,3.1438796681201153
2023-04-16,125711.796875,21.58866639585576,-3.522660102689357
2023-04-26,116694.3984375,32.45944710267787,-24.275786406473713
2023-04-27,124659.3984375,41.717298287326166,-20.83899938749592
2023-04-28,180034.0,51.183103802665556,-16.915525247914005
2023-05-13,117828.203125,45.56276959580398,17.4173900408179
2023-05-15,176673.59375,24.030292284130027,7.577202304831588
2023-05-25,166831.296875,26.061710070719858,-29.483386139639922
2023-05-26,158334.5,34.789562642628304,-28.852590800007007
2023-05-27,142068.1875,44.04488822850162,-27.266629780560432
2023-05-28,125311.0,53.56366529403095,-24.77271297757079
2023-06-12,150832.703125,36.93211212210393,25.133462311297443
2023-06-13,138528.1875,26.68906590390835,20.036687363088436
2023-06-23,148653.09375,20.41708398201902,-37.443905085792494
2023-06-24,141664.40625,28.523651762906404,-39.40969243740118
2023-06-25,146311.09375,37.44962206418264,-39.83014750246274
2023-06-26,206763.40625,46.94828596358271,-38.58318243852606
2023-06-27,168030.296875,56.74729878991679,-35.66775426369532
2023-06-28,154294.1875,66.5292324683875,-31.19084602330942
2023-06-29,127534.0,75.91180210933781,-25.324425672549566
2023-07-10,139295.90625,50.95725476191911,42.396667831526734
2023-07-11,139545.703125,40.09891052738979,37.68777061927602
2023-07-12,196720.5,29.966803752485273,31.308834668722273
2023-07-23,169320.90625,22.988874031597,-51.08884515931735
2023-08-09,168609.90625,44.20505638067495,48.08092455079858
2023-08-10,138954.5,34.16596375378045,39.67393254748928
2023-08-11,115623.8046875,25.019886856710528,30.45135975384269
2023-08-23,156941.90625,35.63494071929573,-64.98743440318098
2023-08-24,173651.5,45.756300693108074,-59.45798708050247
2023-08-25,143355.1875,56.37045676657586,-50.88332541789004
2023-08-26,121778.890625,67.03296168513981,-40.517613323558436
2023-08-27,124327.109375,77.19271378478128,-28.988665445800443
2023-09-07,147392.703125,49.43558833113349,55.28962787012581
2023-09-08,157008.78125,39.48620151504595,45.13441667066378
2023-09-10,157023.203125,21.752209965380835,24.093946179758138
2023-09-21,144580.8125,31.07380136347698,-73.93035532648886
2023-09-22,119594.109375,41.28924145748362,-65.29496978891719
2023-09-23,126500.8046875,52.179260846187745,-54.25091827553046
2023-09-24,148699.09375,63.25923273866933,-42.15183410504696
2023-10-08,135351.1875,36.53720965898465,38.19064211427552
2023-10-09,129237.1015625,27.67509931955662,27.264509001438494
2023-10-20,130050.6875,27.155171680099066,-77.97398584099015
2023-10-21,231804.3125,37.414115947159814,-66.85945567345718
2023-11-06,178853.0,44.07377158486654,42.02057396872018
2023-11-07,208696.90625,34.85103232188032,31.020352204298465
2023-11-08,151550.40625,26.14910033101564,19.999717103922332
2023-12-21,149250.5,63.720150631309025,-24.92571896604872
2024-03-15,127059.3046875,27.627294486757958,-31.383584175313196
2024-03-17,139540.6875,48.322245064313755,-17.088467955213616
2024-05-03,95799.203125,33.04286664940535,9.64933116722735
2024-05-04,111243.1015625,22.56882301854695,4.192204125870012
2024-05-13,114874.40625,26.475071767528934,-27.474097242615866
2024-05-14,114851.5,35.77049039371914,-26.215972725048246
2024-05-15,124366.3984375,45.38563545206354,-24.10629122676737
2024-05-17,171487.3125,64.29856269719875,-17.858069010319394
2024-06-11,146241.09375,21.020819318824476,-34.55292848764531
2024-06-12,196115.90625,29.513095787462145,-36.11231358154286
2024-06-14,142022.1875,48.03302238157118,-34.94504111621906
2024-06-15,137099.40625,57.47422022130549,-32.32646568674036
2024-06-16,130970.8046875,66.6731184304797,-28.520030472439842
2024-06-17,199489.203125,75.35279627079818,-23.67859952407457
2024-06-30,143254.40625,37.78736661215536,34.32854466087992
2024-07-01,145704.3125,27.164414721500073,27.8095986207783
2024-07-30,233207.09375,29.738503234790304,35.36862357420072
2024-07-31,185825.203125,20.35544861955938,25.598384555269217
2024-08-10,147334.0,25.87634736080777,-62.47252429149163
2024-08-11,137926.296875,34.577323588293076,-62.89563925792537
2024-08-12,127805.1015625,43.933565068255156,-59.38793436026724
2024-08-13,131013.5,53.68237851376263,-52.879541128254
2024-08-14,132273.5,63.52204235121448,-44.428504780014585
2024-08-15,175325.296875,73.09131912757043,-34.684626647862466
2024-08-16,136385.203125,81.9538744556245,-23.982646863062467
2024-08-27,161506.203125,43.493407940642165,49.95997132590928
2024-08-28,148399.609375,33.077497273782065,39.10669940281553
2024-08-29,122454.90625,23.653352712321706,27.977510733067934
2024-09-08,131035.09375,20.300324207774317,-72.65565713992316
2024-09-09,123259.203125,28.530260668802132,-74.04949681526978
2024-09-10,139159.59375,37.69802306799353,-68.76236512786022
2024-09-11,196074.703125,47.549674240916055,-59.88714919061705
2024-09-12,163934.09375,57.77832633197333,-49.438780744124074
2024-09-25,143682.296875,47.85093436933926,52.722501431794754
2024-10-08,197374.0,23.136239313923713,-81.39550311284414
2024-10-09,179514.296875,32.041640713669025,-74.03253075438592
