date,luminosity,lunar_illumination,lunar_elevation
2023-01-19,546970.5625,12.061531792194009,-27.508267177715698
2023-01-20,550908.625,5.441229198679487,-40.93290721277745
2023-01-21,509043.125,1.3484272010801601,-54.31107470984376
2023-01-22,538597.1875,0.2156239347111344,-66.95640109633311
2023-01-23,353338.3125,2.1696595971905763,-76.18405262233854
2023-01-24,500376.3125,6.9950133518759285,-74.31007099798343
2023-01-25,615901.875,14.195114174738155,-64.04514733343586
2023-02-17,456353.3125,15.73978892850027,-26.09847099984309
2023-02-18,501814.125,8.051885425402011,-38.38758164554262
2023-02-19,375092.0,2.7534737297562453,-49.997843300636
2023-02-21,588397.875,0.8763580557568706,-65.41001826947758
2023-02-22,519757.96875,4.320123313440238,-64.22470026618797
2023-02-23,406586.6875,10.217966895606063,-57.369813442550516
2023-02-24,469450.59375,17.996243162865223,-47.92025730579556
2023-03-18,542042.0,18.92628539931338,-23.012379060405593
2023-03-19,609024.3125,10.535670083965766,-33.10032045441263
2023-03-20,383693.625,4.3646540967189456,-42.00812587730556
2023-03-23,549584.8125,2.215915384704953,-52.07704734945915
2023-03-25,355942.6875,13.17787904165899,-41.91674717164773
2023-04-17,531617.125,12.827346368778109,-24.055805768581266
2023-04-19,474220.09375,1.7858081731160602,-35.97997466977018
2023-04-20,632024.875,0.041444020057396225,-39.244329799043214
2023-04-21,662599.25,0.835409367515022,-40.301678507591454
2023-04-23,557589.875,9.069034129933312,-36.265253129210386
2023-04-24,529692.5625,15.784512390896616,-31.984727821320035
2023-05-16,491960.78125,15.123148799406655,-12.472884598172067
2023-05-17,433311.5,8.060012001691257,-18.41928554032283
2023-05-18,435269.5,3.138204057838184,-23.60581916845231
2023-05-19,469890.5,0.5083590759186685,-27.814021014024632
2023-05-21,477308.78125,2.0144622640319465,-32.608549346532335
2023-05-22,545519.1875,5.808369362574001,-33.03730365443624
2023-05-23,554486.8125,11.280266060609618,-32.207042261192946
2023-05-24,470162.59375,18.130666811992008,-30.25688796184549
2023-06-14,520115.0,17.7301418564585,-0.792887015421469
2023-06-15,512653.53125,10.403940806672463,-7.351116753458949
2023-06-16,459372.0,4.955627076427094,-13.68406546682283
2023-06-17,519594.9375,1.5266658977692915,-19.619311908914135
2023-06-18,583069.5,0.15892824460568278,-24.97948061134897
2023-06-19,542266.375,0.8047587298140257,-29.577572761801125
2023-06-20,474964.0,3.3430443871175166,-33.22054864021506
2023-06-21,450189.6875,7.599179103614517,-35.72427811368482
2023-06-22,517248.5,13.365320519698825,-36.94012926136426
2023-07-15,575421.8125,7.3339069173543825,-7.220599504214272
2023-07-16,506861.09375,3.1104482047787485,-15.083431460290642
2023-07-19,490391.28125,1.5727671638473495,-36.29673684675149
2023-07-20,573645.75,4.65496608043558,-41.8243683477006
2023-07-21,538031.75,9.359566570196753,-46.006778458165584
2023-07-22,438510.0,15.530661608451451,-48.396781692691256
2023-08-13,417650.09375,10.42686353931121,-3.739364154827125
2023-08-14,380229.1875,5.360050779369452,-13.191949944078097
2023-08-15,416693.5,1.9611848399639253,-22.518527082208653
2023-08-16,452836.4375,0.314212161509575,-31.631093709834428
2023-08-17,395938.3125,0.45925857199983766,-40.38549085210863
2023-08-18,428952.5,2.3911642994300433,-48.520526389874405
2023-08-19,401507.90625,6.059875755421801,-55.5414569521391
2023-08-20,452033.875,11.372560571817585,-60.550027372840674
2023-09-11,342847.3125,14.454375659712332,-1.5219822119702726
2023-09-13,411566.5,3.9890372676503913,-22.36802333013178
2023-09-14,463126.6875,1.1476038269105149,-32.74136708279777
2023-09-15,434845.5625,0.06911482186057749,-43.04028917622315
2023-09-16,511782.125,0.8305328153493552,-53.151831060184186
2023-09-17,448384.59375,3.458230709539528,-62.76121865544706
2023-09-18,418430.1875,7.9212765845855575,-70.88629625435418
2023-10-10,403027.125,19.654078888925987,1.2805161017465487
2023-10-11,442677.125,12.706876009246686,-9.60832319073478
2023-10-12,438449.1875,7.062493886786631,-20.54731274534205
2023-10-13,478667.78125,2.9433427827293244,-31.573188913910474
2023-10-15,415876.59375,0.06370404055589529,-53.94357541823012
2023-10-17,428861.1875,5.157360434798564,-76.23541568731684
2023-10-18,507269.8125,10.72665191757366,-83.70010774033922
2023-10-19,614899.3125,18.142869514614667,-76.6471722944215
2023-11-12,354911.09375,2.0774746383397713,-39.86843365782298
2023-11-16,437090.78125,7.8832975355616846,-87.6343958998846
2023-12-09,443553.71875,16.942181462675983,-12.384876618439437
2023-12-11,589836.6875,4.699624167759953,-36.26857674022682
2023-12-12,538999.125,1.2797056496660075,-48.662399872372056
2023-12-13,426583.90625,0.14111016415019328,-61.31945037811597
2023-12-14,449090.96875,1.5162912147927365,-74.12250970985735
2024-01-08,532345.375,15.137923404195192,-20.756300584834687
2024-01-09,496273.53125,8.254380419102574,-33.17046334424828
2024-01-10,427614.375,3.2263063238222314,-45.861424178162906
2024-01-11,510432.3125,0.5380905164905303,-58.652951841562
2024-01-12,621752.75,0.5484283288509084,-70.96836544791748
2024-01-13,561715.0,3.398766713346857,-79.60102281016727
2024-01-14,442056.28125,8.960156231600358,-74.84017644734851
2024-01-15,450669.875,16.8444727828089,-63.09456004786228
2024-02-07,534038.5625,12.306841714172368,-30.39446749320081
2024-02-08,588534.5,5.771432308455143,-42.51960014240052
2024-02-09,498471.09375,1.5570384037430385,-54.17178899935984
2024-02-10,453067.625,0.13842187506126202,-64.07635958498588
2024-03-08,538361.8125,8.525317204490518,-36.8191988850833
2024-03-09,507638.90625,3.0064374593761265,-46.13738499606308
