date,luminosity,lunar_illumination,lunar_elevation
2023-01-16,534350.8125,40.671735363327535,-0.6389470767453488
2023-01-17,568791.8125,30.333218359640973,-13.229294578213809
2023-01-18,351186.8125,20.58556827865667,-26.23841165304918
2023-01-26,314049.8125,23.11822436223811,-42.998706731863955
2023-01-28,673297.875,43.494695673742086,-17.772459404913356
2023-01-29,930108.75,53.83374851551831,-5.7434509988344615
2023-01-30,426205.09375,63.70709979988555,5.964628400974921
2023-02-14,1106800.75,46.52856907101842,1.0081297101605882
2023-02-15,556053.6875,35.656606126018396,-11.680966567933693
2023-02-16,696149.375,25.174600104117005,-24.666689794228642
2023-02-25,370459.0,27.04372799147362,-31.290360629947106
2023-02-26,393110.6875,36.796864116411186,-19.566483297463833
2023-02-27,393449.59375,46.77980761918514,-8.17471483925416
2023-03-15,568456.625,51.127296860460035,0.848883584735279
2023-03-16,520539.75,39.88935021241705,-11.240968698115795
2023-03-17,713185.3125,28.935413715858672,-23.368241463385353
2023-03-26,544642.25,21.112834459124713,-31.131169419298626
2023-03-27,506629.0,30.023925989559697,-20.902102676212472
2023-03-28,713394.125,39.478903409981356,-10.81887361135513
2023-03-29,518596.5,49.11261166415103,-0.9420587757402679
2023-03-30,528129.5,58.617225788920365,8.70658089340335
2023-03-31,1155479.875,67.72361840053868,18.106833401695656
2023-04-12,1424704.75,65.59529268902558,11.95492845038674
2023-04-13,1717802.0,54.50323759280459,1.3191340436101862
2023-04-14,849669.875,43.05378347124513,-9.30899412240512
2023-04-15,613039.3125,31.86820501995782,-19.703381786977
2023-04-16,568392.75,21.58866639585576,-29.56635814005262
2023-04-25,558939.375,23.704799858269034,-23.07068504924665
2023-04-26,469210.9375,32.45944710267787,-14.97945017109706
2023-04-27,775810.375,41.717298287326166,-6.873473908675826
2023-04-28,751498.8125,51.183103802665556,1.1576076299615
2023-04-30,742592.0,69.65279105345724,16.718162929530866
2023-05-14,618717.375,34.353679833709485,-12.119726603020913
2023-05-25,676903.875,26.061710070719858,-21.857147602210695
2023-05-26,552678.8125,34.789562642628304,-15.719503845939904
2023-05-28,590743.0,53.56366529403095,-2.7650450456108926
2023-05-29,558020.4375,63.07152450073803,3.877447986651944
2023-06-12,919031.0,36.93211212210393,-1.562417364426384
2023-06-13,612881.75,26.68906590390835,-8.893536338192467
2023-06-23,596554.3125,20.41708398201902,-31.844723516660736
2023-06-24,434953.8125,28.523651762906404,-27.38773251058154
2023-06-25,739882.8125,37.44962206418264,-22.138024771656717
2023-06-26,588385.625,46.94828596358271,-16.234827564026787
2023-06-27,514136.3125,56.74729878991679,-9.785082503255632
2023-06-28,645081.25,66.5292324683875,-2.8805104408091875
2023-06-29,518878.4375,75.91180210933781,4.378044894038404
2023-06-30,1310017.25,84.43592364680069,11.849142212273511
2023-07-11,478166.6875,40.09891052738979,9.497936771912874
2023-07-12,676043.5,29.966803752485273,1.5563919247317508
2023-07-23,424329.59375,22.988874031597,-40.91338055390689
2023-07-26,424774.9375,50.92317677564399,-22.289792286027385
2023-08-09,1198318.375,44.20505638067495,18.774528365222945
2023-08-10,888567.9375,34.16596375378045,9.487195473179593
2023-08-11,385358.125,25.019886856710528,0.18229108553382561
2023-08-23,602798.3125,35.63494071929573,-40.737061229892646
2023-08-24,604304.75,45.756300693108074,-31.58589197612914
2023-08-25,478858.0,56.37045676657586,-21.480111150764664
2023-08-26,445765.875,67.03296168513981,-10.597565037810448
2023-08-27,328835.0,77.19271378478128,0.9343833777682578
2023-09-08,655520.6875,39.48620151504595,14.81669687860502
2023-09-10,665970.5,21.752209965380835,-6.014877699569947
2023-09-21,447483.625,31.07380136347698,-47.70257630728191
2023-09-22,677493.0,41.28924145748362,-36.51116148958412
2023-09-23,497955.0625,52.179260846187745,-24.662513316202016
2023-09-24,1078412.875,63.25923273866933,-12.258529595759308
2023-09-26,921507.875,83.5706558160689,13.966496186576748
2023-10-08,791232.8125,36.53720965898465,7.932497910072861
2023-10-09,581417.25,27.67509931955662,-2.9638526204135296
2023-10-20,539980.4375,27.155171680099066,-50.46842320666827
2023-10-21,831926.25,37.414115947159814,-38.00218919790335
2023-10-24,710033.3125,70.79739966073697,1.2182233426855273
2023-11-08,879882.5625,26.14910033101564,-9.411604434509062
2023-11-18,884875.3125,23.655035179906527,-51.370494140724006
2023-11-20,589607.6875,44.971739539643686,-25.38198177664729
2023-12-18,375872.03125,30.307888978802804,-39.32194532968571
2023-12-21,542806.125,63.720150631309025,0.012018986220240502
2023-12-22,804155.625,73.97371229267814,12.939763520150233
2024-01-04,1297914.75,51.53681597140203,13.675999620691107
2024-01-06,562418.4375,32.43420904073384,-9.04871019251218
2024-01-07,429339.625,23.3593435074643,-20.827595497096205
2024-01-16,655412.375,26.47574179942659,-40.15085293506021
2024-01-17,417736.125,37.1898623388224,-26.84004724272952
2024-01-18,403104.75,48.32555468335579,-13.774996149909352
2024-02-03,800424.1875,49.84900207504033,6.601035752354109
2024-02-04,409475.0,39.83609804923912,-5.099673285246729
2024-02-05,709355.625,29.921337625233956,-17.125590543349485
2024-02-06,769986.1875,20.561443913362424,-29.512657786413087
2024-02-14,377025.21875,22.345278943405667,-39.47705512173078
2024-02-15,449951.71875,32.570519342680335,-26.499471881806027
2024-02-16,594987.3125,43.355339207276025,-13.848729792865026
2024-02-17,483314.125,54.11736088219591,-1.552138662319896
2024-02-18,488081.0,64.3826598483616,10.396816017152922
2024-03-04,1218000.625,46.38142555622387,-2.995978919541812
2024-03-05,761015.4375,35.85031275361658,-14.710544304353075
